机构,比较分组,默认保障资料参考分,主榜名次,并列,有加分依据维度数,总维度数,评分说明,口碑提示（不计入分数）,证据截至,模型版本,换人保障得分（满分30）,换人保障档位（0–5）,换人保障依据与缺口,换人保障来源,退出与退费得分（满分20）,退出与退费档位（0–5）,退出与退费依据与缺口,退出与退费来源,人员筛选得分（满分15）,人员筛选档位（0–5）,人员筛选依据与缺口,人员筛选来源,督导与售后得分（满分15）,督导与售后档位（0–5）,督导与售后依据与缺口,督导与售后来源,主体与北京业务得分（满分10）,主体与北京业务档位（0–5）,主体与北京业务依据与缺口,主体与北京业务来源,费用透明度得分（满分10）,费用透明度档位（0–5）,费用透明度依据与缺口,费用透明度来源
管家帮,业务待确认，不进主榜,8,,否,2,6,目前只有历史品牌、北京业务及免费更换线索，当前承接主体和育儿供给尚待确认；广州旧裁判不能充当今天退费政策。,当前北京育儿服务存在性尚未确认，优先级应低于主体、人员与合同可当下核实的机构。历史事件需展示年份城市，不能称当下定论。,2026-09-21,1.0,6,1,旧应用介绍有同类免费更换宣传，仅记历史线索；未取得当前北京育儿合同，也未确认现承接主体、免费边界及替补时限。,https://foxdata.com/en/app-marketing-analytics/616459498/as/AR/,0,0,广州历史案件的判退款是特定综合家政合同结果，不能作为北京育儿现行规则；当前退出公式和实际到账期限未取得。,https://m.mp.oeeee.com/a/BAAFRD000020210314453481.html,0,0,已检索管家帮当前北京育儿业务，未取得可用的身份、体检、背景核验与技能考核流程，历史平台规模不构成筛选证据。,,0,0,未取得当前北京客服督导或问题升级制度；媒体披露的历史经营困难只能单独提示年份风险，不能替代今天售后事实。,,2,1,历史媒体和应用资料可定位易盟天地及北京业务，但当前管家帮承接法人和北京育儿接单均未确认，因此仅作待核线索。,"https://k.sina.cn/article_7073635074_1a59f1b02001013zux.html?from=finance
https://foxdata.com/en/app-marketing-analytics/616459498/as/AR/",0,0,2019年广州会员费是异地历史个案，不属于当前北京育儿报价；面向家庭的工资、机构费及试工费用均未取得。,https://m.mp.oeeee.com/a/BAAFRD000020210314453481.html
好孕妈妈,业务待确认，不进主榜,5,,否,2,6,仅保留历史主体及培训线索，当前北京接单和责任承接未证实；先核在营与合同方，再讨论具体保障和报价。,本轮检索后的关键结论是现行接单主体和经营无法确认；不能把旧名录或2026营销榜单当作在营证明。历史退款报道应保留并清楚标2022、异地，若考虑该品牌应先核企业与付款安全再看人选。,2026-09-21,1.0,0,0,未取得当前北京育儿嫂换人承诺；历史匹配争议既不能当现行保障，也不能据此推定今天的更换次数和候选期限。,,0,0,现有媒体内容为二〇二二年经营及退款争议，未提供当前北京合同退出规则；异地旧案不能代表现行应退金额或期限。,,3,1,品牌有历史培训规模和体系介绍，但未取得当前运营方及课程、考核证据；候选人员健康、背景和实际技能均待核。,"https://www.thepaper.cn/newsDetail_forward_18202100
https://www.beijingbaomu.com/user/haoyunmama/",0,0,已查品牌及北京目录，未取得当前服务主管、替补调度、督导和理赔机制；保留历史入口不等于今天仍有售后人员。,,2,1,历史媒体和目录能定位曾有北京育儿业务，但二〇二六年接单、合同和承接主体未证实；业务待确认，身份仅记历史档。,"https://www.thepaper.cn/newsDetail_forward_18202100
https://www.beijingbaomu.com/user/haoyunmama/",0,0,未取得当前北京育儿嫂价格与机构费表；旧文中的预付款、培训费和争议金额性质不同，不用于当期费用透明度加分。,
阿华妈咪,业务待确认，不进主榜,5,,否,2,6,主要依据是历史备案和旧目录，当前主体及接单未确认；培训只有摘要线索，换退、督导和价格均需补证。,本次检索揭示主体名称存在两个版本、网站资料偏旧。应暂列现营与主体核实优先项；没有找到该品牌可核独立投诉，也不能据此评价好坏。,2026-09-21,1.0,0,0,已对品牌及公司全名检索换人政策，没有取得适用育儿嫂的次数、费用和到岗期限；旧域名业务标题不作为保障。,,0,0,未取得当期退费比例、手续费及到账期限的原始文字；现行签约主体尚未闭环，也不能推定旧主体责任由谁承担。,,3,1,目录摘要称有技能培训团队和标准化管理，未读到完整原文；只能保留间接培训线索，健康、背调和实操记录仍缺。,http://bjahlljzfwyxzrgs.dayinmao.com/,0,0,现有备案、域名与目录材料没有督导频次、顾问责任及换人升级流程；官网无法回读不等于没有售后，只是不计依据。,,2,1,历史备案及站长工具列出两种公司名称，旧目录有北京育儿业务；二〇二六年接单证据未取得，业务待确认仅记历史档。,"http://icp.bugscaner.com/host_%E9%98%BF%E5%8D%8E%E5%A6%88%E5%92%AA.%E4%B8%AD%E5%9B%BD.html
https://mseo.chinaz.com/ahuamm.com
http://bjahlljzfwyxzrgs.dayinmao.com/",0,0,已查品牌和相关目录，未取得可验证的当期育儿嫂工资或机构费；历史业务介绍没有可用于比较的费用结构与金额。,
妇婴乐,业务待确认，不进主榜,5,,否,2,6,北京主体和当年劳务活动有依据，育儿培训主要为旧线索；长期育儿供给和换退合同尚待确认，培训荣誉不转化服务分。,主体和2026业务活动证据明确，能补机构覆盖。深查未取得当下育儿嫂换退合同和具名独立交易过程；现有独立媒体材料偏劳务活动，不能把培训荣誉或月嫂宣传直接转成育儿嫂推荐。,2026-09-21,1.0,0,0,妇婴乐政府及培训资料没有北京育儿嫂免费更换次数、同级承接和到岗时间条款，月嫂品牌称号不能代替长期育儿保障。,,0,0,已查试用、换人失败与提前终约相关信息，未取得退款比例和到账时限；历史月嫂荣誉及培训资历不构成育儿退费承诺。,,3,1,历史培训平台有母婴与育婴培训介绍，构成有限旧线索；当前育儿课程、体检、背调和实际人选考核尚未取得。,https://www.inxue.com/school-8009/,0,0,2026劳务活动体现人员对接，未涉及育儿上户督导和突发补位；当前回访频次、售后责任人与问题处理流程没有依据。,https://fgw.beijing.gov.cn/fzggzl/zyhz/gzdt/jjbf/xggz/202608/t20260812_4820195.htm,2,1,政府名录与2026活动可定位北京妇婴乐主体，但长期育儿专门工种和实际候选未证实，按业务待确认范围记有限身份分。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4251001.html
https://fgw.beijing.gov.cn/fzggzl/zyhz/gzdt/jjbf/xggz/202608/t20260812_4820195.htm
https://www.inxue.com/school-8009/",0,0,没有取得当前北京育儿嫂工资、机构费和保险等家庭报价，历史培训招生价格并非雇主请育儿嫂的服务支出。,
佳和誉泰,业务待确认，不进主榜,5,,否,2,6,北京主体与培训线索可核，家庭育儿派单尚待确认；换人、退费、售后及收费均缺可加分依据。,已核北京主体和培训/家政服务线索，具体面向家庭的北京育儿派单尚未证实。暂留待核，不用育婴培训自动代替育儿嫂服务。,2026-09-21,1.0,0,0,已查佳和誉泰更换及合同资料，未取得适用家庭育儿嫂的换人承诺；培训就业安排不等于雇主可免费更换。,,0,0,已查该品牌退费与投诉资料，未取得育儿试工、提前终约或无人可换的退出规则，扣费和到账期限均缺。,,3,1,培训目录自述岗前培训和等级考核，官网索引另有育婴培训线索；实际婴儿实操标准、人员健康和背调未取得。,"https://www.ibixue.com/school-7992/
https://www.jhytjz.cn/col.jsp?id=104",0,0,培训目录的入户管理表述未说明育儿客户的督导责任、回访频次或投诉处理，查后仍没有可用售后机制。,https://www.ibixue.com/school-7992/,2,1,协会确认北京佳和誉泰主体，培训目录有家政活动，但当前面向家庭的北京育儿派单尚未证实，保留待确认。,"https://www.zqjz.com/index/index/wlist?id=113
https://www.ibixue.com/school-7992/",0,0,品牌收费专项检索未取得育儿工资或服务费资料；培训目录的免费岗前培训不能作为家庭雇佣零收费依据。,
京朵家政,业务待确认，不进主榜,5,,否,2,6,京朵保留历史主体及育儿培训线索，当前官网和接单尚未确认；网站404不作停业判断，换退资料仍缺。,机构有历史北京育儿业务线索，当前官网与可接单情况无法确认。已查过主体、业务、换退及口碑，列入待确认组。,2026-09-21,1.0,0,0,京朵历史官网本轮返回404，品牌更换及合同检索未取得现行可读承诺，免费次数和候选到岗时限仍未知。,https://www.jingduojiazheng.com/,0,0,已查品牌退款及纠纷，未取得可归属育儿雇主合同、退出算法或退款结果，资料稀少不能理解为没有投诉。,,3,1,2021目录转述培训、保险和授课合作，仅支持历史培训宣传；现行合作文件、核证和人员实操档案均未取得。,https://m.zhao.city/siteinfo/13452,0,0,旧目录和主体资料未列育儿督导频率、回访或投诉处理时限，当前官网不可用也不能推定售后存在或不存在。,,2,1,2021政府名录和网站目录支持历史北京育儿主体，当前官网404且接单未核，不能据此认定停业或继续经营。,"https://m.zhao.city/siteinfo/13452
https://www.qiyeku.cn/tag/company8610df-8.html
https://sw.beijing.gov.cn/zmhd/dczjj/202306/t20230601_3119537.html
https://www.jingduojiazheng.com/",0,0,查后未取得现行育儿工资、机构费、试工与退出扣款，企业目录的联系方式和旧培训介绍不提供可比收费。,
三替（北京）,业务待确认，不进主榜,2,,否,1,6,北京主体可追查，但北京公开业务主要为养老护理，长期育儿供给未证实；杭州价格及护工到岗承诺均不计育儿保障分。,集团确有育儿品类，但北京分支公开信息偏养老护理；北京育儿嫂应标“业务尚待确认”，不能凭杭州价格和护工48小时宣传给保障高分。,2026-09-21,1.0,0,0,北京商家48小时到岗宣传针对护工，杭州育儿业务也不能直接移用；本轮未取得北京育儿嫂免费更换或替补到岗规则。,"https://bj.jiazhenggang.com/user/santicare/
https://www.3tgroup.cn/",0,0,已查北京三替及集团官网，未取得北京育儿嫂退款细则或适用合同；养老护理与杭州家政资料不能形成此项退出依据。,,0,0,集团培训资料未对应北京当前育儿人选，不能将杭州家政或北京护工培训套入；育儿背调、健康和实操考核未取得。,https://www.3tgroup.cn/,0,0,北京公开管理资料以养老医院护理为主，没有对应育儿的回访、督导和紧急替补制度，不将护理售后外推至育儿。,https://bj.jiazhenggang.com/user/santicare/,2,1,协会及招聘可定位北京养老护理主体，商家有育儿分类但当前具体服务偏护理；北京育儿接单未证实，仅作待核入口。,"https://bj.jiazhenggang.com/user/santicare/
https://m.zhipin.com/companys/d82022082f00aa031HR63t21FFc~.html
https://www.zqjz.com/index/index/wlist?id=113",0,0,8000元起为杭州集团官网育儿服务价格，无法确认适用北京；北京育儿工资、机构费、试工和更换差价未取得。,https://www.3tgroup.cn/
育天使,业务待确认，不进主榜,2,,否,1,6,北京主体有政府线索，但现行合同与供给待核；消费者匹配退费争议单独展示，既不替代制度证据，也不按投诉数量扣分。,有明确北京主体和育儿业务，但出现与用户关切直接相关的匹配、退费争议线索，应核合同原件及结局；不能把单方投诉断言成已证实事实。,2026-09-21,1.0,0,0,投诉中的多次更换只能说明个案发生过匹配争议，不是现行免费次数或期限承诺；未取得育天使当前育儿更换合同。,https://www.xfb315.com/tousu/97344817,0,0,2024年投诉索引标完结，但未取得完结原因和到账材料，不能认作退费政策；当前解约公式与退款期限仍缺。,https://www.xfb315.com/tousu/97344817,0,0,双语能力和照护争议属客户单方指控，不代表实际筛选制度；未取得当前北京育儿培训、背调和体检的可检查标准。,,0,0,主体与招聘资料没有提供固定督导、回访频率及换人负责人，官网原文读取超时也未补足当前售后流程证据。,,2,1,政府名录和招聘可定位北京育天使主体与业务历史，但当前官网正文、接单和人选未确认；按业务待核范围计分。,"https://www.bjtzh.gov.cn/bjtz/zwgk/tzgg/2026061717551322864/index.shtml
https://www.zhaopin.com/companydetail/CZL1319358140.htm
https://www.yu-angel.com.cn/",0,0,19500元服务费及13000元工资来自2024双语需求投诉个案，不能当当前价格表；现行育儿费用和附加收费未取得。,https://www.xfb315.com/tousu/97344817
惠佳丰／京惠照护师,业务待确认，不进主榜,2,,否,1,6,集团及护理母婴业务证据明确，长期育儿服务仍待确认；培训、平台管理和月嫂海报不自动增加育儿保障分。,护理和月嫂业务证据较充分；长期育儿嫂、换退保障和独立雇主口碑仍未取得可靠公开资料。已查到的资料不足以纳入优先育儿候选。,2026-09-21,1.0,0,0,惠佳丰官网海报明确月嫂与产后服务，未取得长期育儿换人条款；次数、同档差价和候选到岗时限均未知。,https://www.huijiafeng.com/col.jsp?id=115,0,0,品牌合同及退费检索未取得长期育儿退出路径，试工、中介费返还和连续不适配的退款规则仍缺适用依据。,,0,0,品牌材料有自有培训考核体系，但以护理母婴为主，未明确长期育儿人选的筛选范围，不能自动给育儿保障加分。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4251033.html
https://chinajob.mohrss.gov.cn/h5/c/2025-12-15/470677.shtml",0,0,平台反馈和过程管理为品牌概述，未明确家庭长期育儿适用责任、上门督导及投诉时限，故没有可用售后依据。,https://chinajob.mohrss.gov.cn/h5/c/2025-12-15/470677.shtml,2,1,官网与官方品牌资料支持北京集团、劳务公司及京惠照护师关系，但长期育儿产品与本单签约主体仍未确认。,"https://www.chsa.com.cn/nd.jsp?fromColId=-1&id=400&_ngc=-1#_np=0_31_38
https://www.huijiafeng.com/
https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4251033.html
https://chinajob.mohrss.gov.cn/h5/c/2025-12-15/470677.shtml",0,0,公开母婴海报没有育儿工资和机构费，医院采购金额属于不同交易对象；查后未取得家庭长期育儿收费表。,https://www.huijiafeng.com/col.jsp?id=115
爱婴宝,业务待确认，不进主榜,2,,否,1,6,北京爱婴宝历史主体可核，但现行育儿服务尚未证实；培训项目与近名机构不能补齐育儿保障证据。,保留待核机构，不漏记但暂不认定当前育儿服务；名称不同于亿婴宝，不能共用证据。,2026-09-21,1.0,0,0,爱婴宝品牌更换及合同检索未取得当前育儿换人规则；同音近名亿婴宝的制度不能转给本公司使用。,,0,0,已查爱婴宝退款和投诉信息，未取得本主体育儿试工或终约退费条款，扣款项目及到账期限均未知。,,0,0,2018年技能项目证明历史培训活动，未给当前育儿课程、筛选和考试内容；不能由该名单推断候选已达标。,https://sw.beijing.gov.cn/phone/zwxx/swzjzczc/201912/t20191220_1349535.html,0,0,协会和历史培训名单没有育儿督导、回访或客户投诉机制，查后也未取得可归属的现行售后说明。,,2,1,2024年协会和2018年政府记录支持北京爱婴宝历史主体，当前家庭育儿服务未证实，不能与亿婴宝合并。,"https://www.zqjz.com/index/index/wlist?id=113
https://sw.beijing.gov.cn/phone/zwxx/swzjzczc/201912/t20191220_1349535.html",0,0,现有来源没有可归属的育儿工资、机构费或服务周期，收费检索后仍无可比信息；培训资助不等于雇主价格。,
诚友情,业务待确认，不进主榜,2,,否,1,6,北京历史家政主体可核，当前育儿业务未证实；普通家政判决独立提示风险，不转成育儿政策或报价。,需要保留并展示已查出的历史家政诉讼，不能据员工制名单判定售后可靠。暂未确认当前育儿业务，个案也不是北京育儿雇主口碑。,2026-09-21,1.0,0,0,历史普通家政纠纷虽有安排替换情节，却不是育儿现行承诺；查后未取得育儿免费次数和替补到岗期限。,https://zh.wikisource.org/zh-hans/北京市海淀区人民法院（2022）京0108民初6589号民事判决书,0,0,旧普通家政案判退部分中介费属于个案，不能作为育儿退款政策；当前试工、终约算法和到账时间仍缺。,https://zh.wikisource.org/zh-hans/北京市海淀区人民法院（2022）京0108民初6589号民事判决书,0,0,员工制名单没有提供育儿人员健康、背景或技能考核流程，历史普通家政案亦不支持当前育儿筛选已落实。,https://rsj.beijing.gov.cn/xxgk/tzgg/202401/t20240129_3548057.html,0,0,历史合同案暴露当时约定不足，但不能代替当前育儿售后制度；查后仍没有回访、应急和投诉处理机制。,https://zh.wikisource.org/zh-hans/北京市海淀区人民法院（2022）京0108民初6589号民事判决书,2,1,2024员工制及协会名单支持北京诚友情历史主体，未取得当前婴幼儿岗位或现售服务，保留业务待确认。,"https://www.zqjz.com/index/index/wlist?id=113
https://rsj.beijing.gov.cn/xxgk/tzgg/202401/t20240129_3548057.html",0,0,旧案中介费1000元及工资5000元属于普通家政历史订单，不能当当前育儿报价；育儿完整收费表未取得。,https://zh.wikisource.org/zh-hans/北京市海淀区人民法院（2022）京0108民初6589号民事判决书
父母时间,业务待确认，不进主榜,2,,否,1,6,仅可确认历史北京主体和行业参与，尚未证实面向家庭的育儿业务；其他维度缺失代表无加分依据。,完整记录检索范围后留为待核，不能用行业名单填补育儿业务、价格和口碑证据。,2026-09-21,1.0,0,0,父母时间的品牌及法人专项检索主要命中协会和活动资料，未取得家庭育儿更换承诺、次数或补位期限。,,0,0,已检索父母时间的合同、退款和投诉，未取得育儿试用或提前终约的退款路径，不能据无案例推断可退费。,,0,0,协会及行业活动线索没有育儿人员培训、体检、背调或技能考核说明，公司名称不能作为育婴专业能力证明。,,0,0,行业参与记录未说明面向育儿家庭的售后角色、回访或应急处理；查后没有可归属的现行督导流程。,,2,1,协会名单支持北京父母时间教育科技主体的历史存在，但具体门店、在售育儿产品与人员供给均未取得。,"https://www.zqjz.com/index/index/wlist?id=113
https://www.xhslw.com/m/view.php?aid=4236",0,0,品牌及完整法人收费检索没有取得育儿工资或机构费，行业活动参与和教育科技名称均不能说明客户收费方式。,
六八到家,业务待确认，不进主榜,2,,否,1,6,六八到家与58是不同品牌，现有线索偏儿童接送；小月龄育儿业务、换退和家庭收费尚未确认。,保留儿童照料候选；若用户接受大龄儿童陪护可进一步问询，小月龄育儿证据不足。名字与58不同，单独核主体和合同。,2026-09-21,1.0,0,0,六八到家岗位索引只有儿童起居和接送线索，换人专项检索未取得婴幼儿服务的免费次数、时限及差价规则。,,0,0,已查品牌合同和退款，未取得试工、提前终约或无人可换的育儿退费条款；不能套用58到家同类政策。,,0,0,招聘索引没有婴幼儿实操、健康或背景查验流程，儿童接送职责也不能证明候选具备小月龄照护能力。,https://www.zhaopin.com/jobdetail/CCL1364788190J40713418504.htm,0,0,现有协会和招聘索引未列家庭育儿回访、专属督导或临时离岗责任，查后未取得可归属售后机制。,,2,1,协会与同名北京招聘索引支持主体线索，但原招聘全文未取得且以儿童接送为主，小月龄育儿服务尚未证实。,"https://www.zqjz.com/index/index/wlist?id=113
https://www.zhaopin.com/jobdetail/CCL1364788190J40713418504.htm",0,0,7000至10000元为儿童照料招聘工资，未确认婴幼儿工种和客户收费；育儿机构费、试工与假日项目均缺。,https://www.zhaopin.com/jobdetail/CCL1364788190J40713418504.htm
超级保姆,业务待确认，不进主榜,2,,否,1,6,北京一般家政主体有资料支持，婴幼儿照护服务未证实；不把一般保姆招聘和薪资转成育儿保障。,北京家政主体可确认，育儿服务仍待明确证据，暂不计入已确认北京育儿机构。,2026-09-21,1.0,0,0,超级保姆资料仅明确一般家政岗位，换人专项检索未取得育儿承诺；不能把普通保姆供给推为育儿替补保障。,,0,0,已检索品牌退款与合同，未取得适用婴幼儿照护的退出规则，试工结算、机构费扣款和退款时限均缺。,,0,0,政府招聘未提供明确育儿岗位或婴幼儿技能筛选流程；公司名称及协会身份不能证明育儿人员已培训核验。,https://www.hanbin.gov.cn/Content-2887980.html,0,0,现有政府岗位表有公司电话地址，但没有育儿督导或投诉处理职责；公开电话本身不计为售后机制。,https://www.hanbin.gov.cn/Content-2887980.html,2,1,协会和2025年政府招聘可定位北京超级保姆主体，岗位为一般家政，当前具体育儿服务仍未证实。,"https://www.zqjz.com/index/index/wlist?id=113
https://www.hanbin.gov.cn/Content-2887980.html",0,0,6000至15000元对应一般家政招聘，工种与客户收费均不匹配；未取得育儿嫂工资和机构服务费。,https://www.hanbin.gov.cn/Content-2887980.html
文武家政,业务待确认，不进主榜,2,,否,1,6,北京主体有协会记录，现有业务材料主要是月嫂培训及异地招聘；长期育儿服务和保障仍待确认。,暂列培训及派单待核机构；不把河北同名公司的北京岗位直接算为北京文武法人履约。,2026-09-21,1.0,0,0,文武家政的现有资料集中培训和招聘，查后未取得北京法人对育儿换人的承诺；河北同名公司的规则不移用。,,0,0,品牌与法人退费检索未取得北京育儿雇主合同，培训学校相关收费或退学规则不能代替育儿客户退出保障。,,0,0,现有学校目录仅涉及月嫂培训，尚未取得北京育儿人员考核和筛选流程，不能把月嫂课程当长期育儿核验。,https://www.bjfyysgs.com/news-info.php?id=1413,0,0,协会和培训招聘线索没有育儿上户督导、回访或投诉处理说明，也没有明确由北京法人承担的售后责任。,,2,1,2024协会名单可定位北京文武家政，现有培训和河北招聘线索未证实该北京法人当前提供长期育儿服务。,"https://www.zqjz.com/index/index/wlist?id=113
https://www.bjfyysgs.com/news-info.php?id=1413
https://www.zhaopin.com/jobdetail/CCL1288239540J40926103915.htm",0,0,查后未取得北京育儿工资、服务费或试工报价，学校培训和异地招聘资料均不能用于家庭育儿价格比较。,
阳光二十一 / 阳光21,业务待确认，不进主榜,2,,否,1,6,历史北京主体有名录支持，当前育儿业务未确认；旧门店及员工制资格不能增加现行换退保障分。,记录在本地家政储备名单，但目前不足以确认最新北京育儿服务；需要实际育儿服务页、合同及人选供给证据。,2026-09-21,1.0,0,0,阳光二十一的历史名录和门店索引未列育儿换人承诺；专项检索后仍缺免费次数、补位时间与差价规则。,,0,0,已查品牌合同与退费资料，未取得适用当前北京育儿订单的取消、试工或连续匹配失败退费条款。,,0,0,现有员工制名单及门店索引没有育儿筛选流程；历史技能项目也不足以说明当前婴幼儿考核或个人健康核验。,,0,0,公开材料仅支持历史机构和门店线索，未提供育儿回访、责任督导、离岗处理或投诉升级安排。,,2,1,2023年员工制名单及2024年协会记录支持历史北京主体，育儿线索来自旧目录，当前服务仍未证实。,"https://www.zqjz.com/index/index/wlist?id=113
https://rsj.beijing.gov.cn/xxgk/tzgg/202302/t20230208_2913405.html
https://www.5idoc.com/doc/4919786557.html",0,0,点评人均及旧目录价格缺少明确工种、周期和现行适用性；查后没有可用于比较的当前育儿工资及机构费。,"https://www.dianping.com/shop/3540088/photos/album
https://www.5idoc.com/doc/4919786557.html"
正德社区服务中心,业务待确认，不进主榜,2,,否,1,6,资料支持社区服务平台身份，实际育儿签约和派单主体未明确；全部育儿保障需落实到具体承接商家。,记录为社区服务平台，暂不纳入直接派单的育儿机构；需确认具体承接育儿合同的入驻公司。,2026-09-21,1.0,0,0,正德社区平台聚合家政服务的线索不能确定实际派单方；查后未取得由正德承担的育儿换人义务及到岗期限。,,0,0,已查该组织育儿合同及退费，未取得客户与正德签约的退出规则；园区入驻商家的退款责任不能推给平台。,,0,0,协会和社区产业园资料未给正德自派育儿人员的筛选培训流程，也未证明入驻机构使用统一婴幼儿考核标准。,,0,0,社区平台活动没有披露育儿订单督导、纠纷处理或责任划分；园区提供综合服务不等于直接承担育儿售后。,,2,1,协会可定位昌平正德社区服务中心，官网索引及报道支持社会组织平台线索，但自营育儿派单仍未证实。,"https://www.zqjz.com/index/index/wlist?id=113
https://web.chinde.com.cn/
https://peking.bjd.com.cn/content/s670e3cf1e4b0c25b287cc797.html",0,0,未取得正德或明确承接商家的育儿工资与中介费；综合社区服务介绍不能作为家庭育儿收费结构依据。,
北京达喜母婴护理,业务待确认，不进主榜,2,,否,1,6,协会页面只确认公司列名，长期育儿业务、联系方式及六类保障材料几乎均缺；有限身份分不代表已确认能够派育儿嫂。,已完成精确名称、业务、售后与口碑多轮搜索，并读过协会原页；证据仍只到“协会列名”。放入待核名录，不计入已确认北京育儿嫂机构，不把近名婴达喜的门店、评价或业务挪过来。,2026-09-21,1.0,0,0,已精确检索北京达喜及育儿换人词，协会原页只有标题日期，未取得可归属本公司的更换承诺、费用或补位时限。,,0,0,现有协会列名和专项搜索未提供任何育儿退费条款，试工失败、无候选及提前解约的退款范围与时间均无法比较。,,0,0,未取得本主体培训、背调、体检或育儿考核资料，近名婴达喜母婴用品门店与本公司未证关联，不能移用其信息。,,0,0,协会正文没有服务介绍，也未检得可归属的顾问、督导、回访与争议升级渠道，母婴护理名称本身不证明售后机制。,,2,1,协会原页能确认2024年列出北京达喜母婴护理有限公司，但没有业务正文、统一代码或联系方式，当前育儿服务待核。,https://www.chsa.com.cn/nd.jsp?fromColId=129&id=691,0,0,没有取得育儿嫂工资、服务费或试工报价，协会列名仅能确认名称存在，不能推断服务定价和额外收费是否透明。,
凤尾竹家政,业务待确认，不进主榜,2,,否,1,6,2026北京经营与月嫂活动可核，但长期育儿业务尚未证实；月嫂优惠、养老招聘及采购评分不计育儿保障。,可保留为大兴本地月嫂/综合家政机构的补充名单。公开资料足以确认公司与2026业务，但不足以确认长期育儿嫂，更没有取得换退合同；先确认工种和签约条款再决定是否进入育儿嫂面试。,2026-09-21,1.0,0,0,凤尾竹工会活动为月嫂，未取得长期育儿免费更换次数或到岗时限；助老中标不代表家庭订单可免费换人。,"https://ggzyfw.beijing.gov.cn/jyxxzbjggg/20260603/5558624.html
https://xinwen.bjd.com.cn/content/s6a100a9ee4b03fa51a7ea542.html",0,0,品牌育儿合同及退费检索未取得取消、试工或无人可换的扣款和退款期限，工会优惠也未提供长期育儿退出规则。,,0,0,现有招聘健康和护理经验要求属于老人病人照护，不能推为育儿团队筛选；育婴核证、背调和实操均未取得。,https://m.sohu.com/a/842875721_121123772/,0,0,招聘中的一对一跟踪属于一般家政养老语境，未取得长期育儿督导频次、投诉升级或适用保险，暂无加分依据。,https://m.sohu.com/a/842875721_121123772/,2,1,2026政府采购和工会月嫂活动明确北京主体及当年经营，出月子后长期育儿服务仍未证实，保留待确认分组。,"https://ggzyfw.beijing.gov.cn/jyxxzbjggg/20260603/5558624.html
https://xinwen.bjd.com.cn/content/s6a100a9ee4b03fa51a7ea542.html",0,0,会员九折只适用于月嫂且未列基准价，助老采购总额也非家庭育儿费；当前长期育儿工资和机构费均未取得。,"https://ggzyfw.beijing.gov.cn/jyxxzbjggg/20260603/5558624.html
https://xinwen.bjd.com.cn/content/s6a100a9ee4b03fa51a7ea542.html"
老兵爱民,业务待确认，不进主榜,2,,否,1,6,近期一般家政及养老活动可核，婴幼儿服务未确认；养老替班、筛选和投诉制度不能直接为育儿加分。,保留已深入核查的北京一般家政/养老机构，但暂不计为已确认小月龄育儿服务。现有替班证据是老人照护，不能直接承诺给育儿家庭。,2026-09-21,1.0,0,0,近期媒体中的春节替班属于老人照护和普通家政，不能移作育儿保障；查后未取得育儿更换条件和到岗时限。,https://bjwb-app.bjd.com.cn/content/s696dbf74e4b0cd719e9c5b89.html,0,0,已查品牌育儿合同及退款，未取得育儿试用、提前终约或无人可换规则，一般养老经营资料不支持退费得分。,,0,0,海报的背景核查、培训及健康备案集中一般家政养老，缺育儿专项适用证据，未据此给育儿筛选加分。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/W020251103338746217755.jpg
https://www.beijing.gov.cn/ywdt/gqrd/202511/t20251114_4281180.html",0,0,投诉机制及服务管理介绍属于养老和一般家政，未取得育儿适用责任与流程；宣传及时率不能证明实际履约。,https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/W020251103338746217755.jpg,2,1,2026年媒体采访与政府名录可确认一般家政经营，长期小月龄育儿产品仍未取得明确证据，身份维度封顶待核档。,"https://rsj.beijing.gov.cn/bm/ztzl/ssjzlwpp/202511/t20251103_4250984.html
https://www.beijing.gov.cn/ywdt/gqrd/202511/t20251114_4281180.html
https://bjwb-app.bjd.com.cn/content/s696dbf74e4b0cd719e9c5b89.html",0,0,春节加班费用出自养老替班语境，不能当育儿工资；查后未取得育儿服务费、试工和节假日完整收费。,https://bjwb-app.bjd.com.cn/content/s696dbf74e4b0cd719e9c5b89.html
